id,Fault Name,Slip Rate (mm/yr),Dip Angle (deg),Upper Depth (km),Lower Depth (km),"geometry (lon,lat)"
0,"Puysegur, 30km, 50% coupling; col: 0, row: 0",27.941469192504883,47.83877944946289,21.34568214416504,32.464569091796875,168.0939483642578,-44.3685417175293,21.34568214416504,167.95465087890625,-44.45909118652344,21.34568214416504
1,"Puysegur, 30km, 50% coupling; col: 0, row: 1",27.832571029663086,52.958858489990234,30.400299072265625,42.373348236083984,168.21400451660156,-44.414588928222656,30.400299072265625,168.07798767089844,-44.50775909423828,30.400299072265625
2,"Puysegur, 30km, 50% coupling; col: 0, row: 2",27.757946014404297,63.57316970825195,43.40509033203125,56.837642669677734,168.27664184570312,-44.443294525146484,43.40509033203125,168.1621856689453,-44.550350189208984,43.40509033203125
3,"Puysegur, 30km, 50% coupling; col: 0, row: 3",27.68695831298828,74.39059448242188,56.63252258300781,71.07929992675781,168.36988830566406,-44.479427337646484,56.63252258300781,168.23521423339844,-44.57372283935547,56.63252258300781
4,"Puysegur, 30km, 50% coupling; col: 1, row: 0",27.900861740112305,45.109764099121094,18.26663589477539,28.893539428710938,167.92483520507812,-44.456539154052734,18.26663589477539,167.7822265625,-44.54453659057617,18.26663589477539
5,"Puysegur, 30km, 50% coupling; col: 1, row: 1",27.78197479248047,50.04586410522461,25.54840850830078,37.046791076660156,168.05882263183594,-44.50739669799805,25.54840850830078,167.91636657714844,-44.59565734863281,25.54840850830078
6,"Puysegur, 30km, 50% coupling; col: 1, row: 2",27.69310760498047,55.82757568359375,37.55043411254883,49.96070098876953,168.15338134765625,-44.54462814331055,37.55043411254883,168.01580810546875,-44.636844635009766,37.55043411254883
7,"Puysegur, 30km, 50% coupling; col: 2, row: 0",27.87510108947754,44.104652404785156,17.9854736328125,28.425039291381836,167.737060546875,-44.53849792480469,17.9854736328125,167.59310913085938,-44.62550354003906,17.9854736328125
8,"Puysegur, 30km, 50% coupling; col: 2, row: 1",27.75566291809082,47.52787780761719,26.239215850830078,37.303306579589844,167.8735809326172,-44.58967590332031,26.239215850830078,167.7279815673828,-44.675411224365234,26.239215850830078
9,"Puysegur, 30km, 50% coupling; col: 2, row: 2",27.65726089477539,54.24627685546875,37.516353607177734,49.689395904541016,167.98085021972656,-44.63180923461914,37.516353607177734,167.8369598388672,-44.71910858154297,37.516353607177734
10,"Puysegur, 30km, 50% coupling; col: 3, row: 0",27.828577041625977,42.06632995605469,14.590298652648926,24.640155792236328,167.56642150878906,-44.6278190612793,14.590298652648926,167.42874145507812,-44.72000503540039,14.590298652648926
11,"Puysegur, 30km, 50% coupling; col: 3, row: 1",27.71162223815918,45.0237922668457,22.17580795288086,32.78681182861328,167.70162963867188,-44.677974700927734,22.17580795288086,167.56065368652344,-44.76770782470703,22.17580795288086
